index,fight
7775,http://www.ufcstats.com/fight-details/635fbf57001897c7
7783,http://www.ufcstats.com/fight-details/8b258bbb37f74a66
7791,http://www.ufcstats.com/fight-details/4bce0ce561a65288
7792,http://www.ufcstats.com/fight-details/b80872821bc4f6ba
7832,http://www.ufcstats.com/fight-details/77bf1e37929b0d59
7833,http://www.ufcstats.com/fight-details/565ecefd8a37ad7e
7841,http://www.ufcstats.com/fight-details/2f449bd58b3d9a99
7842,http://www.ufcstats.com/fight-details/d93c8c77e1091a16
7843,http://www.ufcstats.com/fight-details/a5c90086fb65f58e
7850,http://www.ufcstats.com/fight-details/3badedeb2c5533f4
7851,http://www.ufcstats.com/fight-details/c413b0abc04358c3
7859,http://www.ufcstats.com/fight-details/f59b1215176636f6
7876,http://www.ufcstats.com/fight-details/5701dbbbfa4f8313
7884,http://www.ufcstats.com/fight-details/7ffcc3a72e082ace
7885,http://www.ufcstats.com/fight-details/6449a1a9a69a830c
7895,http://www.ufcstats.com/fight-details/e4fe950846b51bdf
7896,http://www.ufcstats.com/fight-details/4b334c9727eee450
7905,http://www.ufcstats.com/fight-details/8e03db41687d9132
7906,http://www.ufcstats.com/fight-details/b297c3e938e1005e
7925,http://www.ufcstats.com/fight-details/b80e6a799c95d499
7926,http://www.ufcstats.com/fight-details/a1db4c917777aa79
